customer_id,customer_name,city,age,product,quantity,price,total_amount
1001,Krishna,Chennai,38,Phone,5,49549.0,247745.0
1002,Kunal,Chennai,21,Keyboard,4,15805.0,63220.0
1003,Sneha,Nashik,45,Mouse,5,10317.0,51585.0
1004,Aadhya,Pune,51,Laptop,4,11761.0,47044.0
1005,Ishaan,Chennai,25,Headphones,3,917.0,2751.0
1006,Neha,Unknown,51,Laptop,4,42076.0,168304.0
1007,Krishna,Nashik,23,Keyboard,5,20858.0,104290.0
1008,Amit,Pune,30,Headphones,2,3767.0,7534.0
1009,Nikhil,Delhi,36,Keyboard,4,17709.0,70836.0
1010,Aadhya,Indore,57,Tablet,2,24552.0,49104.0
1011,Aadhya,Hyderabad,43,Headphones,3,39013.0,117039.0
1012,Kiran,Indore,24,Tablet,1,26592.0,26592.0
1013,Neha,Jaipur,53,Laptop,3,11838.0,35514.0
1014,Vihaan,Hyderabad,25,Laptop,4,912.0,3648.0
1015,Ishaan,Jaipur,41,Headphones,2,8043.0,16086.0
1016,Not Available,Chennai,30,Headphones,2,40855.0,81710.0
1017,Aditya,Mumbai,35,Mouse,5,33996.0,169980.0
1018,Meera,Pune,52,Keyboard,2,24048.0,48096.0
1019,Neha,Hyderabad,28,Mouse,5,27884.0,139420.0
1020,Vivaan,Hyderabad,25,Keyboard,1,44925.0,44925.0
1021,Kiran,Chennai,35,Mouse,4,39256.0,157024.0
1022,Sara,Delhi,48,Tablet,5,19388.0,96940.0
1023,Sai,Nashik,22,Headphones,1,36235.0,36235.0
1024,Vivaan,Chennai,39,Laptop,2,47795.0,95590.0
1025,Neha,Bengaluru,55,Keyboard,2,49316.0,98632.0
1026,Aarav,Nashik,38,Keyboard,1,24076.0,24076.0
1027,Sara,Pune,45,Laptop,2,20963.0,41926.0
1028,Meera,Nashik,22,Mouse,1,18455.0,18455.0
1029,Sara,Delhi,38,Keyboard,5,38341.0,191705.0
1030,Rahul,Nashik,39,Tablet,5,5604.0,28020.0
1031,Diya,Pune,51,Headphones,1,35411.0,35411.0
1032,Pooja,Delhi,26,Laptop,5,23690.0,118450.0
1033,Sneha,Indore,52,Headphones,5,7857.0,39285.0
1034,Sneha,Hyderabad,59,Keyboard,5,32979.0,164895.0
1035,Amit,Hyderabad,58,Keyboard,3,45311.0,135933.0
1036,Sara,Jaipur,37,Laptop,4,36708.0,146832.0
1037,Nikhil,Indore,59,Tablet,2,20650.0,41300.0
1038,Kunal,Indore,20,Phone,3,6144.0,18432.0
1039,Aditya,Nashik,30,Laptop,5,43786.0,218930.0
1040,Arjun,Hyderabad,47,Phone,1,47820.0,47820.0
1041,Amit,Pune,44,Mouse,5,3414.0,17070.0
1042,Krishna,Nagpur,42,Phone,4,21852.0,87408.0
1043,Neha,Nagpur,50,Tablet,5,46852.0,234260.0
1044,Ananya,Delhi,49,Mouse,1,45412.0,45412.0
1045,Krishna,Hyderabad,54,Phone,4,14897.0,59588.0
1046,Rohan,Hyderabad,26,Mouse,5,42055.0,210275.0
1047,Vihaan,Nagpur,35,Phone,4,47459.0,189836.0
1048,Priya,Hyderabad,45,Tablet,2,1228.0,2456.0
1049,Rohan,Nashik,21,Phone,2,1198.0,2396.0
1050,Ananya,Bengaluru,20,Phone,5,40454.0,202270.0
1051,Neha,Mumbai,31,Phone,4,47780.0,191120.0
1052,Vivaan,Indore,24,Laptop,1,14423.0,14423.0
1053,Kunal,Jaipur,56,Laptop,5,17279.0,86395.0
